instrument,ticker
3D SYSTEMS CORP.,11.69
3M COMPANY,175.2
500.COM LTD.,4.18
8X8 INC,33.37
A.H. BELO CORP.,1.42
A.O. SMITH CORP.,55.64
A10 NETWORKS INC.,10.37
AAR CORP.,36.1
AARONS HOLDINGS CO.,17.35
ABB LTD,27.13
ABBOTT LABORATORIES,108.9
ABBVIE INC.,102.91
ABERCROMBIE & FITCH CO.,18.92
ABERDEEN GLOB. DYNAMIC DIVIDEND FUND,10.29
ABERDEEN GLOB. PREMIER PROPERTIES FUND,5.16
ABERDEEN INC. CREDIT STRATEGIES FUND,10.83
ABERDEEN STANDARD GLOB. INFRA. INC. FUN,19.33
ABERDEEN TOTAL DYNAMIC DIVIDEND FUND,8.72
ABM INDUSTRIES INC.,38.78
ACADIA REALTY TRUST,13.9
ACCEL ENTERTAINMENT INC.,10.61
ACCENTURE PLC CLASS A,260.99
ACCO BRANDS CORP.,8.73
ACORN INTERNATIONAL INC. ADS,20.65
ACUITY BRANDS INC.,114.43
ACUSHNET HOLDINGS,41.41
ADAMS DIV. EQUITY FUND,17.05
ADC THERAPEUTICS SA,35.01
ADECOAGRO S.A.,6.16
ADIENT PLC,34.55
